xi,mean_log_loss,n_folds
0.0015,0.9863352917230931,9
0.002,0.9865773739009323,9
0.001,0.9867981645804623,9
0.003,0.9877742642553093,9
0.0005,0.9888053890260345,9
0.004,0.989478122189854,9
0.0,0.9931368621412555,9
