C,mean_log_loss,n_folds
0.01,0.9784317753305533,9
0.1,0.9791598605178928,9
0.003,0.9792605861663114,9
1.0,0.9792912481491162,9
0.001,0.9871437688397315,9
0.0003,1.0106768694480681,9
0.0001,1.0367533399911715,9
3e-05,1.0548265124697105,9
