model,accuracy,n_matches,log_loss,log_loss_lo,log_loss_hi,log_loss_diff_vs_bookmaker,log_loss_diff_lo,log_loss_diff_hi,brier,brier_lo,brier_hi,brier_diff_vs_bookmaker,brier_diff_lo,brier_diff_hi,rps,rps_lo,rps_hi,rps_diff_vs_bookmaker,rps_diff_lo,rps_diff_hi
bookmaker_baseline,0.5421052631578948,1140.0,0.9661725277069018,0.938778964107604,0.9944968952046603,0.0,0.0,0.0,0.5744331277988539,0.5548573970719252,0.5945419967017153,0.0,0.0,0.0,0.1956187752159001,0.1883635174217477,0.20340036643438322,0.0,0.0,0.0
logistic_elo_form,0.531578947368421,1140.0,0.9806000359833473,0.9517619651512146,1.0085421572468003,0.014427508276445603,0.005605065266337915,0.023176923924763424,0.5845258972807026,0.5643837898779135,0.6043025739587546,0.010092769481848727,0.00411192661319811,0.015945900464763567,0.19990586425664922,0.19243910130074385,0.20759998812121105,0.004287089040749118,0.0015638596686731808,0.006927445561767732
logistic_all,0.5359649122807018,1140.0,0.980733048891546,0.953291593650557,1.0073090525523503,0.014560521184644367,0.005374349229739827,0.02384067404053578,0.5842372480260493,0.5650454160907461,0.6029139543305887,0.009804120227195434,0.003664365148361225,0.01607069325844877,0.2000815048758153,0.19288645726046544,0.2074897688495766,0.004462729659915193,0.001646646019396953,0.0072684142544149465
logistic_elo_only,0.5324561403508772,1140.0,0.9835244776522428,0.9553028293707961,1.0112245920224494,0.017351949945341266,0.007268038350634441,0.027689980851413547,0.5867951658033973,0.5670718580834083,0.6064367843989336,0.012362038004543482,0.0055989358560181455,0.01923123578996595,0.20135243199312172,0.1936484286856948,0.20923630765413218,0.005733656777221604,0.0025735703423029116,0.008910354928837553
xgboost_all,0.531578947368421,1140.0,0.9913065882387124,0.9628306253727829,1.019902678854874,0.025134060531810817,0.015598665390810213,0.03440372170944629,0.5898477351847857,0.5699023441360523,0.6100382164207355,0.015414607385931929,0.009127686665919536,0.02171692388286136,0.20184756342586976,0.19435942174643203,0.2095480896812651,0.006228788209969657,0.003324950484658998,0.009092987229732296
xgboost_elo_form,0.5307017543859649,1140.0,0.9942419975559983,0.9671555025581219,1.0216352936866386,0.028069469849096543,0.01849622924163316,0.03731605582594148,0.5913772104458952,0.5719232843397324,0.6108532210568232,0.01694408264704143,0.010628957406911766,0.023120428593365775,0.20257924400190053,0.19536539212391776,0.20984127125113927,0.006960468786000429,0.00398254067279048,0.009843130906396698
xgboost_elo_only,0.5228070175438596,1140.0,0.9962425025807826,0.9681448642739654,1.0244285301773988,0.03006997487388096,0.019189707669372676,0.040704124621629284,0.5929533469734364,0.5730009544895269,0.6128856332708164,0.018520219174582606,0.011300598218402853,0.025675690910164504,0.2036314452780909,0.1961220572453156,0.21143448641464455,0.008012670062190785,0.0047053020882164365,0.01133391060714248
