,precision,recall,f1-score,support
H,0.5379494007989347,0.8211382113821138,0.6500402252614642,492.0
D,0.5,0.0035842293906810036,0.0071174377224199285,279.0
A,0.5193798449612403,0.5447154471544715,0.5317460317460317,369.0
accuracy,0.531578947368421,0.531578947368421,0.531578947368421,0.531578947368421
macro avg,0.519109748586725,0.4564792959757555,0.3963012315766386,1140.0
weighted avg,0.5226511122664681,0.531578947368421,0.4544033698837555,1140.0
