pick,n_bets,win_rate,mean_odds,mean_model_p,mean_market_p,mean_claimed_ev,mean_market_ev,flat_stake_roi,mean_clv
A,352,0.21306818181818182,6.125284090909091,0.30792996,0.25110932834468813,0.24365892694077707,-0.05164140593665471,-0.22605113636363636,-0.03444822895752925
D,220,0.20909090909090908,3.994727272727273,0.2817754,0.2438805518680458,0.09994180976396257,-0.05150035860867684,-0.18945454545454546,-0.040114379286431495
H,431,0.31786542923433875,3.6819489559164733,0.4206048,0.35412236704988337,0.18569757687900293,-0.05186915295158708,-0.2106032482598608,-0.046278822211186045
