odds_bucket,n_bets,win_rate,mean_odds,mean_model_p,mean_market_p,mean_claimed_ev,mean_market_ev,flat_stake_roi,mean_clv
"(1.0, 1.5]",31,0.6129032258064516,1.4270967741935485,0.7270761,0.6656356739062088,0.03519750220160329,-0.05269248325597239,-0.12774193548387097,-0.040546111459034605
"(1.5, 2.0]",130,0.46153846153846156,1.7697692307692308,0.61315244,0.5392638561829596,0.07981126923285999,-0.05191173220002206,-0.1823076923076923,-0.05338767329104623
"(2.0, 3.0]",205,0.33658536585365856,2.4729268292682924,0.4662965,0.38833225936187393,0.1419191825709692,-0.05128051585096087,-0.16317073170731708,-0.054799873334649654
"(3.0, 5.0]",380,0.24210526315789474,3.9107894736842104,0.2931994,0.24617263542304177,0.13180494720920136,-0.0514033699201662,-0.07344736842105264,-0.04250726208999606
"(5.0, 8.0]",148,0.08108108108108109,6.489864864864865,0.19069707,0.14850901334332992,0.21935629051782796,-0.052817812724830854,-0.48986486486486486,-0.03506169521800733
"(8.0, inf]",109,0.05504587155963303,12.788990825688073,0.1301258,0.08072375584559578,0.5933960104070672,-0.05154719207726865,-0.463302752293578,-0.001136889045445483
