strategy,final_bankroll,n_bets,win_rate
xgboost (edge>0%),0.0005203736704578984,1003,0.2572283150548355
xgboost (edge>5%),0.0008304139328425796,748,0.24197860962566844
xgboost_isotonic (edge>0%),0.0003064031494850692,1004,0.2968127490039841
xgboost_isotonic (edge>5%),0.0003645023301438366,785,0.2764331210191083
blend_lr_dixon_coles (edge>0%),0.001705994608764501,976,0.2612704918032787
blend_lr_dixon_coles (edge>5%),0.0014853415398219797,746,0.23056300268096513
bookmaker_baseline,1.0,0,
