model_a,model_b,metric,mean_diff_a_minus_b,ci_lo,ci_hi,significant
bookmaker_closing,bookmaker_baseline,log_loss,-0.005979008980233131,-0.009989024461024542,-0.002057790252941988,True
bookmaker_closing,blend_lr_dixon_coles,log_loss,-0.022137314358500904,-0.03071409042233864,-0.013381270833902423,True
bookmaker_closing,logistic_regression,log_loss,-0.0205395301648775,-0.03010388504558236,-0.010836262659676233,True
bookmaker_closing,xgboost,log_loss,-0.031113069512043953,-0.040694868045158344,-0.021000095906548655,True
bookmaker_closing,dixon_coles,log_loss,-0.04181004554440627,-0.05533041491945883,-0.028534163001530145,True
bookmaker_baseline,bookmaker_closing,log_loss,0.005979008980233131,0.0020577902529419875,0.009989024461024539,True
bookmaker_baseline,blend_lr_dixon_coles,log_loss,-0.016158305378267773,-0.02443664546164596,-0.008095912127530676,True
bookmaker_baseline,logistic_regression,log_loss,-0.014560521184644367,-0.023840674040535786,-0.005374349229739839,True
bookmaker_baseline,xgboost,log_loss,-0.025134060531810817,-0.03440372170944629,-0.015598665390810234,True
bookmaker_baseline,dixon_coles,log_loss,-0.03583103656417314,-0.04864496307839729,-0.023477596121544705,True
blend_lr_dixon_coles,bookmaker_closing,log_loss,0.022137314358500904,0.013381270833902423,0.03071409042233864,True
blend_lr_dixon_coles,bookmaker_baseline,log_loss,0.016158305378267773,0.00809591212753067,0.024436645461645957,True
blend_lr_dixon_coles,logistic_regression,log_loss,0.001597784193623403,-0.004089497477820353,0.007315674175742963,False
blend_lr_dixon_coles,xgboost,log_loss,-0.008975755153543047,-0.017581994150963277,-0.00047618807704729763,True
blend_lr_dixon_coles,dixon_coles,log_loss,-0.019672731185905373,-0.02834180906641096,-0.011178563825801255,True
logistic_regression,bookmaker_closing,log_loss,0.0205395301648775,0.010836262659676226,0.03010388504558234,True
logistic_regression,bookmaker_baseline,log_loss,0.014560521184644367,0.005374349229739827,0.02384067404053578,True
logistic_regression,blend_lr_dixon_coles,log_loss,-0.001597784193623403,-0.007315674175742967,0.00408949747782035,False
logistic_regression,xgboost,log_loss,-0.01057353934716645,-0.018925937114440204,-0.0022238134975617256,True
logistic_regression,dixon_coles,log_loss,-0.021270515379528777,-0.035611963964488756,-0.007171779781131837,True
xgboost,bookmaker_closing,log_loss,0.031113069512043953,0.021000095906548655,0.040694868045158344,True
xgboost,bookmaker_baseline,log_loss,0.025134060531810817,0.015598665390810213,0.03440372170944629,True
xgboost,blend_lr_dixon_coles,log_loss,0.008975755153543047,0.0004761880770472905,0.01758199415096327,True
xgboost,logistic_regression,log_loss,0.01057353934716645,0.002223813497561725,0.0189259371144402,True
xgboost,dixon_coles,log_loss,-0.010696976032362325,-0.024962429709327733,0.0031188385980726522,False
dixon_coles,bookmaker_closing,log_loss,0.04181004554440627,0.028534163001530142,0.05533041491945882,True
dixon_coles,bookmaker_baseline,log_loss,0.03583103656417314,0.0234775961215447,0.04864496307839728,True
dixon_coles,blend_lr_dixon_coles,log_loss,0.019672731185905373,0.011178563825801253,0.028341809066410956,True
dixon_coles,logistic_regression,log_loss,0.021270515379528777,0.007171779781131833,0.035611963964488756,True
dixon_coles,xgboost,log_loss,0.010696976032362325,-0.0031188385980726787,0.024962429709327733,False
bookmaker_closing,bookmaker_baseline,brier,-0.004434183294540518,-0.007165643360415442,-0.0017242713721604074,True
bookmaker_closing,blend_lr_dixon_coles,brier,-0.015315141733214981,-0.021199725961092337,-0.009353173932449782,True
bookmaker_closing,logistic_regression,brier,-0.01423830352173595,-0.0205878598501259,-0.00775282069990091,True
bookmaker_closing,xgboost,brier,-0.019848790680472447,-0.026454419974953167,-0.013152469318987227,True
bookmaker_closing,dixon_coles,brier,-0.029073687092812394,-0.03842403890328648,-0.019854518109462673,True
bookmaker_baseline,bookmaker_closing,brier,0.004434183294540518,0.0017242713721604055,0.007165643360415442,True
bookmaker_baseline,blend_lr_dixon_coles,brier,-0.010880958438674464,-0.01647937971957781,-0.005347262961624623,True
bookmaker_baseline,logistic_regression,brier,-0.009804120227195434,-0.016070693258448777,-0.003664365148361225,True
bookmaker_baseline,xgboost,brier,-0.015414607385931929,-0.021716923882861363,-0.00912768666591954,True
bookmaker_baseline,dixon_coles,brier,-0.024639503798271876,-0.033618474912027796,-0.015887969242429027,True
blend_lr_dixon_coles,bookmaker_closing,brier,0.015315141733214981,0.009353173932449776,0.021199725961092333,True
blend_lr_dixon_coles,bookmaker_baseline,brier,0.010880958438674464,0.005347262961624621,0.016479379719577806,True
blend_lr_dixon_coles,logistic_regression,brier,0.001076838211479031,-0.0028574632864330957,0.004941627533798604,False
blend_lr_dixon_coles,xgboost,brier,-0.004533648947257465,-0.009909768556357867,0.0009696918537044078,False
