model,accuracy,n_matches,log_loss,log_loss_lo,log_loss_hi,log_loss_diff_vs_bookmaker,log_loss_diff_lo,log_loss_diff_hi,brier,brier_lo,brier_hi,brier_diff_vs_bookmaker,brier_diff_lo,brier_diff_hi,rps,rps_lo,rps_hi,rps_diff_vs_bookmaker,rps_diff_lo,rps_diff_hi
bookmaker_closing,0.55,1140.0,0.9601935187266686,0.9328202970054141,0.9881407813732255,-0.005979008980233131,-0.009989024461024542,-0.002057790252941988,0.5699989445043133,0.5503652094023103,0.5898171285533351,-0.004434183294540518,-0.007165643360415442,-0.0017242713721604074,0.19378323883629242,0.18641839668143478,0.20165769303371825,-0.0018355363796076927,-0.0030984637183264037,-0.0005849040989845229
bookmaker_baseline,0.5421052631578948,1140.0,0.9661725277069018,0.938778964107604,0.9944968952046603,0.0,0.0,0.0,0.5744331277988539,0.5548573970719252,0.5945419967017153,0.0,0.0,0.0,0.1956187752159001,0.1883635174217477,0.20340036643438322,0.0,0.0,0.0
logistic_multinomial,0.5324561403508772,1140.0,0.9800160593490135,0.9512842633571066,1.008618140816564,0.01384353164211166,0.0047061906796174655,0.023810905721439887,0.5836989556807752,0.563861930265997,0.603444861775503,0.00926582788192143,0.0032520567647676573,0.01590593653005501,0.19997775753427477,0.19246272577988002,0.2077853348577137,0.0043589823183746695,0.0015006093557096355,0.00739996797113348
logistic_regression,0.5359649122807018,1140.0,0.980733048891546,0.953291593650557,1.0073090525523503,0.014560521184644367,0.005374349229739827,0.02384067404053578,0.5842372480260493,0.5650454160907461,0.6029139543305887,0.009804120227195434,0.003664365148361225,0.01607069325844877,0.2000815048758153,0.19288645726046544,0.2074897688495766,0.004462729659915193,0.001646646019396953,0.0072684142544149465
logistic_temperature,0.5359649122807018,1140.0,0.9820678980929324,0.9537624718024207,1.0099154038815317,0.015895370386030568,0.006593330112971617,0.025530898825618122,0.5852183707259763,0.5655490568671727,0.6045587873434108,0.010785242927122374,0.004623216016443087,0.01712255850065155,0.20041279392917255,0.19300073485308653,0.20807834330566952,0.004794018713272456,0.0019446642117189284,0.007694462040496918
blend_lr_dixon_coles,0.5271929824561403,1140.0,0.9823308330851696,0.9564769532782045,1.0078110963904228,0.016158305378267773,0.00809591212753067,0.024436645461645957,0.5853140862375282,0.5671585057667328,0.6036533203254958,0.010880958438674464,0.005347262961624621,0.016479379719577806,0.20084481269245288,0.19403556975437683,0.2080563932609156,0.00522603747655279,0.002699750826129807,0.0077174218078465695
xgboost_multinomial,0.5368421052631579,1140.0,0.9851036701350946,0.9563000338544471,1.0141164472435984,0.018931142428192698,0.009415251743343338,0.028806720554363303,0.5877508504554251,0.5673488965338932,0.6081838668925466,0.01331772265657124,0.0069359070821129205,0.020011212738418962,0.20169422312438323,0.1941098242790949,0.2095755701769057,0.006075447908483155,0.0031048662855578573,0.009124347026083703
xgboost,0.531578947368421,1140.0,0.9913065882387124,0.9628306253727829,1.019902678854874,0.025134060531810817,0.015598665390810213,0.03440372170944629,0.5898477351847857,0.5699023441360523,0.6100382164207355,0.015414607385931929,0.009127686665919536,0.02171692388286136,0.20184756342586976,0.19435942174643203,0.2095480896812651,0.006228788209969657,0.003324950484658998,0.009092987229732296
xgboost_temperature,0.531578947368421,1140.0,0.9930784612991502,0.9649976002761091,1.0218445068624211,0.02690593359224829,0.017077854718910202,0.036451644709408114,0.5910233595596794,0.5711128103758578,0.611329050284952,0.01659023176082554,0.010148870354525637,0.02302937342689626,0.2023261509460699,0.1948556624268351,0.20998269436701586,0.006707375730169803,0.0037824700670441073,0.009601057787920473
dixon_coles,0.5052631578947369,1140.0,1.002003564271075,0.9760984156475662,1.028842851176873,0.03583103656417314,0.0234775961215447,0.04864496307839728,0.5990726315971258,0.5807663848880877,0.6178261571275369,0.024639503798271876,0.015887969242429027,0.03361847491202778,0.2077345362371159,0.20073705384814539,0.21527335870441552,0.01211576102121579,0.008086317434385829,0.01626655573084084
xgboost_isotonic,0.5263157894736842,1140.0,1.0199191990918957,0.9667660386241128,1.0979685175413176,0.05374667138499374,0.015456472126308117,0.12269341915613695,0.5899639347906135,0.5692961635350714,0.6108563391273287,0.015530806991759792,0.00848880405517882,0.022766084200219302,0.20241523161257685,0.19465380397859572,0.21044014143418308,0.006796456396676767,0.0035557977360844042,0.010102714313085055
dixon_coles_no_decay,0.4868421052631579,1140.0,1.0333707688044556,1.0066659518679397,1.0613225179511967,0.06719824109755373,0.05001475663400818,0.08497976459882525,0.6188909486771944,0.6001619195771491,0.6379941525292325,0.04445782087834052,0.03260155788236383,0.056584956634522295,0.21787720926565277,0.2098959351999728,0.22639617448361846,0.02225843404975265,0.016613941352241483,0.02811932546143714
logistic_isotonic,0.519298245614035,1140.0,1.0697420303842384,0.9775887296469331,1.1934420410467037,0.10356950267733653,0.013878096715220518,0.22157991802904578,0.5875585846750497,0.5672603252250414,0.6078801566592809,0.013125456876195856,0.006319150176338484,0.02050516864717106,0.20190294320384405,0.1940428120932026,0.21033642712759157,0.006284167987943954,0.0030873467504945176,0.009652984639722289
home_win_baseline,0.43157894736842106,1140.0,20.487971400129748,19.444602486234253,21.499723074210234,19.52179887242285,18.490650865505184,20.535213549526762,1.1368421052631579,1.0789473684210527,1.1929824561403508,0.562408977464304,0.5105627567281493,0.6125261157396262,0.44605263157894737,0.4214912280701754,0.47149122807017546,0.25043385636304727,0.2263304715917613,0.2745594121793533
