,precision,recall,f1-score,support
H,0.5383580080753702,0.8130081300813008,0.6477732793522267,492.0
D,0.0,0.0,0.0,279.0
A,0.5062972292191436,0.5447154471544715,0.5248041775456919,369.0
accuracy,0.5271929824561403,0.5271929824561403,0.5271929824561403,0.5271929824561403
macro avg,0.3482184124315046,0.4525745257452574,0.3908591522993062,1140.0
weighted avg,0.3962244013639878,0.5271929824561403,0.4494361359260139,1140.0
